ID,ItemNumber,ItemName,Specification,CurrentInventory,MaxInventory,SafetyInventory
1,F00000,ItemA,A,398,500,50
2,F00001,ItemA,B,358,500,50
3,F00002,ItemA,C,483,500,50
4,F00003,ItemA,D,481,500,50
5,F00004,ItemB,A,387,500,50
6,F00005,ItemB,B,452,500,50
7,F00006,ItemB,C,478,500,50
8,F00007,ItemB,D,387,500,50
9,F00008,ItemC,A,418,500,50
10,F00009,ItemC,B,375,500,50
11,F00010,ItemC,C,409,500,50
12,F00011,ItemC,D,437,500,50
13,F00012,ItemD,A,484,500,50
14,F00013,ItemD,B,422,500,50
15,F00014,ItemD,C,393,500,50
16,F00015,ItemD,D,433,500,50
17,F00016,ItemE,A,459,500,50
18,F00017,ItemE,B,365,500,50
19,F00018,ItemE,C,365,500,50
20,F00019,ItemE,D,362,500,50
21,F00020,ItemF,A,451,500,50
22,F00021,ItemF,B,360,500,50
23,F00022,ItemF,C,402,500,50
24,F00023,ItemF,D,390,500,50
25,F00024,ItemG,A,495,500,50
26,F00025,ItemG,B,484,500,50
27,F00026,ItemG,C,400,500,50
28,F00027,ItemG,D,477,500,50
29,F00028,ItemH,A,407,500,50
30,F00029,ItemH,B,384,500,50
31,F00030,ItemH,C,473,500,50
32,F00031,ItemH,D,368,500,50
33,F00032,ItemI,A,389,500,50
34,F00033,ItemI,B,423,500,50
35,F00034,ItemI,C,429,500,50
36,F00035,ItemI,D,479,500,50
37,F00036,ItemJ,A,357,500,50
38,F00037,ItemJ,B,373,500,50
39,F00038,ItemJ,C,425,500,50
40,F00039,ItemJ,D,496,500,50
41,F00040,ItemK,A,484,500,50
42,F00041,ItemK,B,474,500,50
43,F00042,ItemK,C,439,500,50
44,F00043,ItemK,D,486,500,50
45,F00044,ItemL,A,500,500,50
46,F00045,ItemL,B,475,500,50
47,F00046,ItemL,C,433,500,50
48,F00047,ItemL,D,421,500,50
49,F00048,ItemM,A,415,500,50
50,F00049,ItemM,B,423,500,50
51,F00050,ItemM,C,445,500,50
52,F00051,ItemM,D,361,500,50
53,F00052,ItemN,A,379,500,50
54,F00053,ItemN,B,387,500,50
55,F00054,ItemN,C,375,500,50
56,F00055,ItemN,D,409,500,50
57,F00056,ItemO,A,441,500,50
58,F00057,ItemO,B,426,500,50
59,F00058,ItemO,C,426,500,50
60,F00059,ItemO,D,394,500,50
61,F00060,ItemP,A,409,500,50
62,F00061,ItemP,B,374,500,50
63,F00062,ItemP,C,433,500,50
64,F00063,ItemP,D,482,500,50
65,F00064,ItemQ,A,434,500,50
66,F00065,ItemQ,B,488,500,50
67,F00066,ItemQ,C,443,500,50
68,F00067,ItemQ,D,490,500,50
69,F00068,ItemR,A,369,500,50
70,F00069,ItemR,B,392,500,50
71,F00070,ItemR,C,394,500,50
72,F00071,ItemR,D,413,500,50
73,F00072,ItemS,A,353,500,50
74,F00073,ItemS,B,488,500,50
75,F00074,ItemS,C,469,500,50
76,F00075,ItemS,D,458,500,50
77,F00076,ItemT,A,455,500,50
78,F00077,ItemT,B,392,500,50
79,F00078,ItemT,C,440,500,50
80,F00079,ItemT,D,350,500,50
81,F00080,ItemU,A,476,500,50
82,F00081,ItemU,B,443,500,50
83,F00082,ItemU,C,408,500,50
84,F00083,ItemU,D,376,500,50
85,F00084,ItemV,A,394,500,50
86,F00085,ItemV,B,372,500,50
87,F00086,ItemV,C,442,500,50
88,F00087,ItemV,D,497,500,50
89,F00088,ItemW,A,381,500,50
90,F00089,ItemW,B,462,500,50
91,F00090,ItemW,C,356,500,50
92,F00091,ItemW,D,353,500,50
93,F00092,ItemX,A,485,500,50
94,F00093,ItemX,B,390,500,50
95,F00094,ItemX,C,477,500,50
96,F00095,ItemX,D,471,500,50
97,F00096,ItemY,A,431,500,50
98,F00097,ItemY,B,477,500,50
99,F00098,ItemY,C,452,500,50
100,F00099,ItemY,D,450,500,50
