ID,OrderNumber,SupermarketName,SupermarketNumber,ItemNumber,ItemName,Specification,OrderAmount,OrderDate,EstDeliverDate,Contact,ContactNumber
1,20221106210854,SM2,SM002,F00026,ItemG,C,37,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
2,20221106210854,SM2,SM002,F00018,ItemE,C,30,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
3,20221106210854,SM2,SM002,F00055,ItemN,D,41,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
4,20221106210854,SM2,SM002,F00045,ItemL,B,35,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
5,20221106210854,SM2,SM002,F00061,ItemP,B,37,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
6,20221106210854,SM2,SM002,F00022,ItemF,C,49,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
7,20221106210854,SM2,SM002,F00032,ItemI,A,48,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
8,20221106210854,SM2,SM002,F00025,ItemG,B,49,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
9,20221106210854,SM2,SM002,F00069,ItemR,B,46,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
10,20221106210854,SM2,SM002,F00047,ItemL,D,39,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
11,20221106210854,SM2,SM002,F00017,ItemE,B,44,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
12,20221106210854,SM2,SM002,F00051,ItemM,D,40,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
13,20221106210854,SM2,SM002,F00063,ItemP,D,44,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
14,20221106210854,SM2,SM002,F00059,ItemO,D,37,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
15,20221106210854,SM2,SM002,F00076,ItemT,A,45,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
16,20221106210854,SM2,SM002,F00098,ItemY,C,41,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
17,20221106210854,SM2,SM002,F00041,ItemK,B,37,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
18,20221106210854,SM2,SM002,F00031,ItemH,D,40,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
19,20221106210854,SM2,SM002,F00089,ItemW,B,38,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
20,20221106210854,SM2,SM002,F00023,ItemF,D,42,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
21,20221106210854,SM2,SM002,F00034,ItemI,C,47,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
22,20221106210854,SM2,SM002,F00080,ItemU,A,38,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
23,20221106210854,SM2,SM002,F00013,ItemD,B,41,2022-11-06,2022-11-07  09:00:00,Dr.Zhihong,10010
